도로명코드,도로명,도로명로마자,읍면동일련번호,시도명,시도명로마자,시군구명,시군구명로마자,읍면동명,읍면동명로마자,읍면동구분,읍면동코드
411111000022,영동고속도로,"Yeongdong Expressway",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411111000022,영동고속도로,"Yeongdong Expressway",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",파장동,Pajang-dong,1,129
411112012001,창룡대로,Changnyong-daero,00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411112012001,창룡대로,Changnyong-daero,01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",연무동,Yeonmu-dong,1,137
411112012008,경수대로,Gyeongsu-daero,00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411112012008,경수대로,Gyeongsu-daero,01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",파장동,Pajang-dong,1,129
411112012008,경수대로,Gyeongsu-daero,02,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",이목동,Imok-dong,1,131
411112012008,경수대로,Gyeongsu-daero,03,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",영화동,Yeonghwa-dong,1,134
411112012008,경수대로,Gyeongsu-daero,04,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",송죽동,Songjuk-dong,1,135
411112012008,경수대로,Gyeongsu-daero,05,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",조원동,Jowon-dong,1,136
411112012008,경수대로,Gyeongsu-daero,06,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",연무동,Yeonmu-dong,1,137
411113012001,덕영대로,Deogyeong-daero,00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411113012001,덕영대로,Deogyeong-daero,01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",정자동,Jeongja-dong,1,130
411113012001,덕영대로,Deogyeong-daero,02,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",율전동,Yuljeon-dong,1,132
411113012001,덕영대로,Deogyeong-daero,03,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",천천동,Cheoncheon-dong,1,133
