"기관 명","송신 서버 번호","데이터 번호","모델명","시리얼","서버타입","사이트명","방문자수","날짜","등록일자"
"서울시","32","1","SDOT001","2992","00Original","0000002992","0000000109","202006282340","2020-06-29 00:01:12"
"서울시","32","1","SDOT001","2993","00Original","0000002993","0000000091","202006282340","2020-06-29 00:01:16"
"서울시","32","1","SDOT001","2994","00Original","0000002994","0000000124","202006282340","2020-06-29 00:01:20"
"서울시","32","1","SDOT001","2995","00Original","0000002995","0000000064","202006282340","2020-06-29 00:01:24"
"서울시","32","1","SDOT001","2996","00Original","0000002996","0000000071","202006282340","2020-06-29 00:01:28"
"서울시","32","1","SDOT001","2997","00Original","0000002997","0000000067","202006282340","2020-06-29 00:01:32"
"서울시","32","1","SDOT001","2998","00Original","0000002998","0000000099","202006282340","2020-06-29 00:01:36"
"서울시","32","1","SDOT001","2999","00Original","0000002999","0000000045","202006282340","2020-06-29 00:01:40"
"서울시","32","1","SDOT001","3000","00Original","0000003000","0000000085","202006282340","2020-06-29 00:01:44"
"서울시","32","1","SDOT001","3001","00Original","0000003001","0000000035","202006282340","2020-06-29 00:01:49"
"서울시","32","1","SDOT001","3002","00Original","0000003002","0000000069","202006282340","2020-06-29 00:01:53"
"서울시","32","1","SDOT001","3003","00Original","0000003003","0000000059","202006282340","2020-06-29 00:01:57"
"서울시","32","1","SDOT001","3004","00Original","0000003004","0000000071","202006282340","2020-06-29 00:02:02"
"서울시","32","1","SDOT001","3005","00Original","0000003005","0000000098","202006282340","2020-06-29 00:02:06"
"서울시","32","1","SDOT001","3006","00Original","0000003006","0000000117","202006282340","2020-06-29 00:02:11"
"서울시","32","1","SDOT001","3007","00Original","0000003007","0000000076","202006282340","2020-06-29 00:02:16"
"서울시","32","1","SDOT001","3008","00Original","0000003008","0000000126","202006282340","2020-06-29 00:02:20"
"서울시","32","1","SDOT001","3009","00Original","0000003009","0000000076","202006282340","2020-06-29 00:02:24"
"서울시","32","1","SDOT001","3010","00Original","0000003010","0000000081","202006282340","2020-06-29 00:02:29"
"서울시","32","1","SDOT001","3011","00Original","0000003011","0000000126","202006282340","2020-06-29 00:02:33"
"서울시","32","1","SDOT001","3012","00Original","0000003012","0000000051","202006282340","2020-06-29 00:02:37"
"서울시","32","1","SDOT001","3013","00Original","0000003013","0000000055","202006282340","2020-06-29 00:02:42"
"서울시","32","1","SDOT001","3014","00Original","0000003014","0000000093","202006282340","2020-06-29 00:02:46"
"서울시","32","1","SDOT001","3015","00Original","0000003015","0000000063","202006282340","2020-06-29 00:02:50"
"서울시","32","1","SDOT001","3016","00Original","0000003016","0000000058","202006282340","2020-06-29 00:02:54"
"서울시","32","1","SDOT001","3017","00Original","0000003017","0000000163","202006282340","2020-06-29 00:02:58"
"서울시","32","1","SDOT001","3018","00Original","0000003018","0000000047","202006282340","2020-06-29 00:03:02"
"서울시","32","1","SDOT001","3019","00Original","0000003019","0000000097","202006282340","2020-06-29 00:03:06"
"서울시","32","1","SDOT001","3020","00Original","0000003020","0000000340","202006282340","2020-06-29 00:03:10"
"서울시","32","1","SDOT001","3021","00Original","0000003021","0000000072","202006282340","2020-06-29 00:03:14"
"서울시","32","1","SDOT001","3022","00Original","0000003022","0000000101","202006282340","2020-06-29 00:03:18"
"서울시","32","1","SDOT001","3023","00Original","0000003023","0000000076","202006282340","2020-06-29 00:03:21"
"서울시","32","1","SDOT001","3024","00Original","0000003024","0000000065","202006282340","2020-06-29 00:03:25"
"서울시","32","1","SDOT001","3025","00Original","0000003025","0000000094","202006282340","2020-06-29 00:03:29"
"서울시","32","1","SDOT001","3026","00Original","0000003026","0000000119","202006282340","2020-06-29 00:03:33"
"서울시","32","1","SDOT001","3027","00Original","0000003027","0000000093","202006282340","2020-06-29 00:03:37"
"서울시","32","1","SDOT001","3028","00Original","0000003028","0000000095","202006282340","2020-06-29 00:03:40"
"서울시","32","1","SDOT001","3029","00Original","0000003029","0000000050","202006282340","2020-06-29 00:03:44"
"서울시","32","1","SDOT001","3030","00Original","0000003030","0000000102","202006282340","2020-06-29 00:03:48"
"서울시","32","1","SDOT001","3031","00Original","0000003031","0000000125","202006282340","2020-06-29 00:03:52"
"서울시","32","1","SDOT001","3032","00Original","0000003032","0000000060","202006282340","2020-06-29 00:03:55"
"서울시","32","1","SDOT001","3033","00Original","0000003033","0000000051","202006282340","2020-06-29 00:03:59"
"서울시","32","1","SDOT001","3034","00Original","0000003034","0000000416","202006282340","2020-06-29 00:04:03"
"서울시","32","1","SDOT001","3035","00Original","0000003035","0000000186","202006282340","2020-06-29 00:04:07"
"서울시","32","1","SDOT001","3036","00Original","0000003036","0000000202","202006282340","2020-06-29 00:04:11"
"서울시","32","1","SDOT001","3037","00Original","0000003037","0000000038","202006282340","2020-06-29 00:04:14"
"서울시","32","1","SDOT001","3038","00Original","0000003038","0000000110","202006282340","2020-06-29 00:04:18"
"서울시","32","1","SDOT001","3039","00Original","0000003039","0000000064","202006282340","2020-06-29 00:04:22"
"서울시","32","1","SDOT001","3040","00Original","0000003040","0000000066","202006282340","2020-06-29 00:04:26"
"서울시","32","1","SDOT001","3041","00Original","0000003041","0000000089","202006282340","2020-06-29 00:04:29"
"서울시","32","1","SDOT001","2992","00Original","0000002992","00000000-2","202006282350","2020-06-29 00:14:34"
"서울시","32","1","SDOT001","2993","00Original","0000002993","00000000-2","202006282350","2020-06-29 00:14:38"
"서울시","32","1","SDOT001","2994","00Original","0000002994","00000000-2","202006282350","2020-06-29 00:14:42"
"서울시","32","1","SDOT001","2995","00Original","0000002995","00000000-2","202006282350","2020-06-29 00:14:46"
"서울시","32","1","SDOT001","2996","00Original","0000002996","00000000-2","202006282350","2020-06-29 00:14:50"
"서울시","32","1","SDOT001","2997","00Original","0000002997","00000000-2","202006282350","2020-06-29 00:14:53"
"서울시","32","1","SDOT001","2998","00Original","0000002998","00000000-2","202006282350","2020-06-29 00:14:57"
"서울시","32","1","SDOT001","2999","00Original","0000002999","00000000-2","202006282350","2020-06-29 00:15:02"
"서울시","32","1","SDOT001","3002","00Original","0000003002","0000000068","202006282350","2020-06-29 00:26:27"
"서울시","32","1","SDOT001","3003","00Original","0000003003","0000000070","202006282350","2020-06-29 00:26:33"
"서울시","32","1","SDOT001","3004","00Original","0000003004","0000000091","202006282350","2020-06-29 00:26:37"
"서울시","32","1","SDOT001","3005","00Original","0000003005","0000000088","202006282350","2020-06-29 00:26:41"
"서울시","32","1","SDOT001","3006","00Original","0000003006","0000000126","202006282350","2020-06-29 00:26:45"
"서울시","32","1","SDOT001","3007","00Original","0000003007","0000000084","202006282350","2020-06-29 00:26:49"
"서울시","32","1","SDOT001","3008","00Original","0000003008","0000000143","202006282350","2020-06-29 00:26:53"
"서울시","32","1","SDOT001","3009","00Original","0000003009","0000000060","202006282350","2020-06-29 00:26:56"
"서울시","32","1","SDOT001","3010","00Original","0000003010","0000000084","202006282350","2020-06-29 00:27:00"
"서울시","32","1","SDOT001","3011","00Original","0000003011","0000000124","202006282350","2020-06-29 00:27:04"
"서울시","32","1","SDOT001","3012","00Original","0000003012","0000000036","202006282350","2020-06-29 00:27:07"
"서울시","32","1","SDOT001","3013","00Original","0000003013","0000000070","202006282350","2020-06-29 00:27:11"
"서울시","32","1","SDOT001","3014","00Original","0000003014","0000000079","202006282350","2020-06-29 00:27:15"
"서울시","32","1","SDOT001","3015","00Original","0000003015","0000000066","202006282350","2020-06-29 00:27:19"
"서울시","32","1","SDOT001","3016","00Original","0000003016","0000000051","202006282350","2020-06-29 00:27:23"
"서울시","32","1","SDOT001","3017","00Original","0000003017","0000000175","202006282350","2020-06-29 00:27:26"
"서울시","32","1","SDOT001","3018","00Original","0000003018","0000000042","202006282350","2020-06-29 00:27:30"
"서울시","32","1","SDOT001","3019","00Original","0000003019","0000000098","202006282350","2020-06-29 00:27:34"
"서울시","32","1","SDOT001","3020","00Original","0000003020","0000000324","202006282350","2020-06-29 00:27:38"
"서울시","32","1","SDOT001","3021","00Original","0000003021","0000000072","202006282350","2020-06-29 00:27:41"
"서울시","32","1","SDOT001","3022","00Original","0000003022","0000000101","202006282350","2020-06-29 00:27:45"
"서울시","32","1","SDOT001","3023","00Original","0000003023","0000000067","202006282350","2020-06-29 00:27:49"
"서울시","32","1","SDOT001","3024","00Original","0000003024","0000000056","202006282350","2020-06-29 00:27:53"
"서울시","32","1","SDOT001","3025","00Original","0000003025","0000000110","202006282350","2020-06-29 00:27:57"
"서울시","32","1","SDOT001","3026","00Original","0000003026","0000000090","202006282350","2020-06-29 00:28:01"
"서울시","32","1","SDOT001","3027","00Original","0000003027","0000000085","202006282350","2020-06-29 00:28:05"
"서울시","32","1","SDOT001","3028","00Original","0000003028","0000000088","202006282350","2020-06-29 00:28:08"
"서울시","32","1","SDOT001","3029","00Original","0000003029","0000000055","202006282350","2020-06-29 00:28:12"
"서울시","32","1","SDOT001","3030","00Original","0000003030","0000000099","202006282350","2020-06-29 00:28:16"
"서울시","32","1","SDOT001","3031","00Original","0000003031","0000000109","202006282350","2020-06-29 00:28:20"
"서울시","32","1","SDOT001","3032","00Original","0000003032","0000000042","202006282350","2020-06-29 00:28:23"
"서울시","32","1","SDOT001","3033","00Original","0000003033","0000000063","202006282350","2020-06-29 00:28:27"
"서울시","32","1","SDOT001","3034","00Original","0000003034","0000000433","202006282350","2020-06-29 00:28:31"
"서울시","32","1","SDOT001","3035","00Original","0000003035","0000000189","202006282350","2020-06-29 00:28:35"
"서울시","32","1","SDOT001","3036","00Original","0000003036","0000000157","202006282350","2020-06-29 00:28:39"
"서울시","32","1","SDOT001","3037","00Original","0000003037","0000000040","202006282350","2020-06-29 00:28:43"
"서울시","32","1","SDOT001","3038","00Original","0000003038","0000000111","202006282350","2020-06-29 00:28:47"
"서울시","32","1","SDOT001","3039","00Original","0000003039","0000000075","202006282350","2020-06-29 00:28:51"
"서울시","32","1","SDOT001","3040","00Original","0000003040","0000000065","202006282350","2020-06-29 00:28:54"
"서울시","32","1","SDOT001","3041","00Original","0000003041","0000000083","202006282350","2020-06-29 00:28:58"
"서울시","32","1","SDOT001","2992","00Original","0000002992","0000000108","202006290010","2020-06-29 00:39:02"
"서울시","32","1","SDOT001","2993","00Original","0000002993","0000000099","202006290010","2020-06-29 00:39:06"
"서울시","32","1","SDOT001","2994","00Original","0000002994","0000000102","202006290010","2020-06-29 00:39:10"
"서울시","32","1","SDOT001","2995","00Original","0000002995","0000000068","202006290010","2020-06-29 00:39:13"
"서울시","32","1","SDOT001","2996","00Original","0000002996","0000000098","202006290010","2020-06-29 00:39:17"
"서울시","32","1","SDOT001","2997","00Original","0000002997","0000000058","202006290010","2020-06-29 00:39:21"
"서울시","32","1","SDOT001","2998","00Original","0000002998","0000000101","202006290010","2020-06-29 00:39:25"
"서울시","32","1","SDOT001","2999","00Original","0000002999","0000000046","202006290010","2020-06-29 00:39:28"
"서울시","32","1","SDOT001","3000","00Original","0000003000","0000000079","202006290010","2020-06-29 00:39:32"
"서울시","32","1","SDOT001","3001","00Original","0000003001","0000000037","202006290010","2020-06-29 00:39:36"
"서울시","32","1","SDOT001","3002","00Original","0000003002","0000000077","202006290010","2020-06-29 00:39:40"
"서울시","32","1","SDOT001","3003","00Original","0000003003","0000000067","202006290010","2020-06-29 00:39:43"
"서울시","32","1","SDOT001","3004","00Original","0000003004","0000000084","202006290010","2020-06-29 00:39:47"
"서울시","32","1","SDOT001","3005","00Original","0000003005","0000000112","202006290010","2020-06-29 00:39:51"
"서울시","32","1","SDOT001","3006","00Original","0000003006","0000000095","202006290010","2020-06-29 00:39:55"
"서울시","32","1","SDOT001","3007","00Original","0000003007","0000000095","202006290010","2020-06-29 00:39:59"
"서울시","32","1","SDOT001","3008","00Original","0000003008","0000000120","202006290010","2020-06-29 00:40:03"
"서울시","32","1","SDOT001","3009","00Original","0000003009","0000000066","202006290010","2020-06-29 00:40:07"
"서울시","32","1","SDOT001","3010","00Original","0000003010","0000000073","202006290010","2020-06-29 00:40:11"
"서울시","32","1","SDOT001","3011","00Original","0000003011","0000000114","202006290010","2020-06-29 00:40:15"
"서울시","32","1","SDOT001","3012","00Original","0000003012","0000000038","202006290010","2020-06-29 00:40:19"
"서울시","32","1","SDOT001","3013","00Original","0000003013","0000000057","202006290010","2020-06-29 00:40:23"
"서울시","32","1","SDOT001","3014","00Original","0000003014","0000000053","202006290010","2020-06-29 00:40:28"
"서울시","32","1","SDOT001","3015","00Original","0000003015","0000000094","202006290010","2020-06-29 00:40:32"
"서울시","32","1","SDOT001","3016","00Original","0000003016","0000000059","202006290010","2020-06-29 00:40:36"
"서울시","32","1","SDOT001","3017","00Original","0000003017","0000000173","202006290010","2020-06-29 00:40:40"
"서울시","32","1","SDOT001","3018","00Original","0000003018","0000000034","202006290010","2020-06-29 00:40:44"
"서울시","32","1","SDOT001","3019","00Original","0000003019","0000000089","202006290010","2020-06-29 00:40:47"
"서울시","32","1","SDOT001","3020","00Original","0000003020","0000000246","202006290010","2020-06-29 00:40:51"
"서울시","32","1","SDOT001","3021","00Original","0000003021","0000000059","202006290010","2020-06-29 00:40:55"
"서울시","32","1","SDOT001","3022","00Original","0000003022","0000000090","202006290010","2020-06-29 00:40:59"
"서울시","32","1","SDOT001","3023","00Original","0000003023","0000000067","202006290010","2020-06-29 00:41:02"
"서울시","32","1","SDOT001","3024","00Original","0000003024","0000000073","202006290010","2020-06-29 00:41:06"
"서울시","32","1","SDOT001","3025","00Original","0000003025","0000000111","202006290010","2020-06-29 00:41:10"
"서울시","32","1","SDOT001","3026","00Original","0000003026","0000000080","202006290010","2020-06-29 00:41:14"
"서울시","32","1","SDOT001","3027","00Original","0000003027","0000000076","202006290010","2020-06-29 00:41:18"
"서울시","32","1","SDOT001","3028","00Original","0000003028","0000000080","202006290010","2020-06-29 00:41:21"
"서울시","32","1","SDOT001","3029","00Original","0000003029","0000000051","202006290010","2020-06-29 00:41:25"
"서울시","32","1","SDOT001","3030","00Original","0000003030","0000000113","202006290010","2020-06-29 00:41:29"
"서울시","32","1","SDOT001","3031","00Original","0000003031","0000000098","202006290010","2020-06-29 00:41:33"
"서울시","32","1","SDOT001","3032","00Original","0000003032","0000000046","202006290010","2020-06-29 00:41:37"
"서울시","32","1","SDOT001","3033","00Original","0000003033","0000000066","202006290010","2020-06-29 00:41:40"
"서울시","32","1","SDOT001","3034","00Original","0000003034","0000000435","202006290010","2020-06-29 00:41:44"
